"Country","airportnumber","vtype"
"Algeria",43,2
"Australia",296,3
"Austria",19,1
"Bahamas",33,2
"Belgium",24,2
"Brazil",234,3
"Canada",417,3
"China",180,2
"Croatia",14,1
"Cyprus",4,1
"Dominican Republic",13,1
"Egypt",24,2
"France",214,3
"Germany",241,3
"Greece",55,2
"Hong Kong",3,1
"India",125,2
"Indonesia",125,2
"Ireland",17,1
"Italy",82,2
"Japan",119,2
"Kyrgyzstan",5,1
"Mexico",83,2
"Morocco",22,1
"Netherlands",26,2
"New Zealand",52,2
"Norway",61,2
"Pakistan",52,2
"Poland",38,2
"Portugal",32,2
"Puerto Rico",10,1
"Russia",238,3
"Saudi Arabia",44,2
"Singapore",6,1
"South Korea",29,2
"Spain",62,2
"Taiwan",24,2
"Tajikistan",4,1
"Thailand",50,2
"Turkey",72,2
"United Arab Emirates",17,1
"United Kingdom",162,2
"United States",1435,3
"Uzbekistan",13,1
